epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,1466.74,1.1715,1.11419,1.68714,0.85034,0.76471,0.80036,0.50737,1.50918,1.38804,1.86746,0.0005249,0.0005249,0.0005249
151,1475.29,1.22997,1.23947,1.74057,0.86573,0.75895,0.79591,0.49991,1.55289,1.34578,1.88439,0.000515,0.000515,0.000515
152,1484.18,1.15181,1.21736,1.66664,0.81031,0.75438,0.78595,0.45963,1.59903,1.30293,1.88098,0.0005051,0.0005051,0.0005051
153,1493.03,1.15202,1.13015,1.65554,0.83872,0.70588,0.79315,0.4689,1.62295,1.33178,1.89479,0.0004952,0.0004952,0.0004952
154,1501.9,1.12077,1.09746,1.62064,1,0.64508,0.79654,0.47829,1.5937,1.35217,1.89627,0.0004853,0.0004853,0.0004853
155,1510.82,1.15148,1.16376,1.69492,0.79386,0.70588,0.78425,0.4875,1.55487,1.40852,1.91601,0.0004754,0.0004754,0.0004754
156,1519.67,1.22827,1.18377,1.68714,0.80887,0.70588,0.78663,0.47368,1.55074,1.4336,1.91854,0.0004655,0.0004655,0.0004655
157,1528.39,1.24266,1.14669,1.66289,0.75218,0.70588,0.78376,0.45689,1.56692,1.44097,1.90465,0.0004556,0.0004556,0.0004556
158,1537.26,1.11445,1.0787,1.61789,0.79934,0.70316,0.77931,0.45214,1.65324,1.48683,1.93661,0.0004457,0.0004457,0.0004457
159,1546.09,1.13974,1.08415,1.63356,0.8492,0.58824,0.76453,0.43988,1.6454,1.53283,1.9338,0.0004358,0.0004358,0.0004358
160,1554.93,1.2201,1.12979,1.70402,1,0.58449,0.76666,0.47262,1.53546,1.50066,1.85284,0.0004259,0.0004259,0.0004259
161,1563.81,1.1613,1.12459,1.63581,0.91509,0.63483,0.76106,0.49679,1.50758,1.55369,1.86291,0.000416,0.000416,0.000416
162,1572.41,1.11279,1.07915,1.60606,0.79967,0.70452,0.69986,0.46213,1.5341,1.67393,1.91593,0.0004061,0.0004061,0.0004061
163,1581.25,1.082,1.03613,1.58363,0.74578,0.58824,0.64539,0.41942,1.50403,1.89117,1.97699,0.0003962,0.0003962,0.0003962
164,1590.16,1.17367,1.11389,1.66585,0.66737,0.52941,0.5968,0.40885,1.5114,1.92267,2.01221,0.0003863,0.0003863,0.0003863
165,1598.9,1.1218,1.08621,1.6391,0.92199,0.47059,0.63431,0.44397,1.47482,1.85118,1.98406,0.0003764,0.0003764,0.0003764
166,1607.67,1.04926,0.9874,1.56215,0.73006,0.63695,0.71863,0.46258,1.48714,1.75122,1.96264,0.0003665,0.0003665,0.0003665
167,1616.74,1.15904,1.10336,1.65553,0.75731,0.76471,0.72929,0.47781,1.48746,1.64317,1.92831,0.0003566,0.0003566,0.0003566
168,1625.68,1.05372,1.08391,1.60616,0.81034,0.75455,0.7655,0.50344,1.49935,1.60099,1.92406,0.0003467,0.0003467,0.0003467
169,1634.68,1.04488,1.01035,1.58494,0.80362,0.72294,0.75565,0.49948,1.48413,1.57024,1.912,0.0003368,0.0003368,0.0003368
